Employee_ID,Job_Title,Industry,Country,Education_Level,Years_Experience,AI_Replacement_Risk,Future_Demand_Score,Remote_Work_Possibility,Average_Salary_USD,Required_Skills,Automation_Level,Job_Growth_2030,Work_Hours_Per_Week,Company_Size,AI_Tool_Usage,Performance_Score,Upskilling_Needed,Job_Satisfaction,Hiring_Trend_2026,Remote_Work_Score,Hiring_Trend_Score,Upskilling_Needed_Score,AI_Risk_Level,Survival_Index
AIJ-100019,UX Designer,Technology,Canada,PhD,11,0.84,0.41,Hybrid,182198,"Docker, TensorFlow, Leadership, Python, SQL",,17,49,Enterprise,,3.16,Yes,2.02,Growing,,,,High,
AIJ-100020,Healthcare Analyst,Healthcare,India,Master,21,0.9,0.93,No,193356,"Python, Docker, Prompt Engineering, Data Visualization, AWS, SQL",,15,52,Medium,,2.38,No,3.66,Stable,,,,High,
AIJ-100021,Teacher,Manufacturing,UAE,PhD,14,0.31,0.54,Hybrid,182039,"Project Management, TensorFlow, Python, Cybersecurity",,22,45,Enterprise,,3.98,No,3.06,Growing,,,,Medium,
AIJ-100022,IoT Specialist,Government,Canada,PhD,13,0.23,0.22,Hybrid,94184,"Machine Learning, Deep Learning, Project Management, Cloud Computing, TensorFlow",,2,52,Enterprise,,3.48,Yes,1.59,Growing,,,,Low,
AIJ-100023,Blockchain Developer,Technology,Singapore,Bachelor,3,0.21,0.96,No,165779,"Cloud Computing, PyTorch, Deep Learning",,41,44,Enterprise,,4.96,No,4.8,Stable,,,,Low,
AIJ-100024,UX Designer,Media,UAE,Bachelor,8,0.46,0.79,No,197159,"Kubernetes, Azure, Data Visualization, Excel, PyTorch, Deep Learning",,35,39,Startup,,3.01,Yes,1.55,Declining,,,,Medium,
AIJ-100025,DevOps Engineer,Energy,Japan,High School,24,0.54,0.53,Hybrid,84220,"Cybersecurity, Prompt Engineering, Machine Learning, Docker, Azure, Data Visualization",,20,30,Medium,,4.26,No,3.15,Growing,,,,Medium,
AIJ-100026,Prompt Engineer,Finance,UAE,Bachelor,19,0.49,0.51,Hybrid,205341,"AWS, Deep Learning, Communication, Prompt Engineering",,15,48,Enterprise,,2.08,No,1.54,Stable,,,,Medium,
AIJ-100027,UX Designer,Energy,India,High School,15,0.24,0.46,Yes,129385,"SQL, Communication, TensorFlow, Data Visualization",,24,31,Medium,,3.95,Yes,4.02,Declining,,,,Low,
AIJ-100028,Blockchain Developer,Retail,Pakistan,Bachelor,19,0.48,0.29,Hybrid,87138,"Python, Cybersecurity, Deep Learning, Machine Learning",,35,33,Startup,,2.32,Yes,4.72,Growing,,,,Medium,
AIJ-100029,Teacher,Healthcare,Japan,High School,11,0.27,0.75,Hybrid,109058,"TensorFlow, Prompt Engineering, Machine Learning, Project Management, Excel, Leadership",,32,41,Startup,,3.94,Yes,4.4,Stable,,,,Low,
AIJ-100030,UX Designer,Government,Singapore,PhD,14,0.69,0.54,No,166772,"PyTorch, Excel, Azure",,27,38,Medium,,4.49,Yes,2.12,Stable,,,,Medium,
AIJ-100031,Business Analyst,Manufacturing,India,Master,8,0.49,0.46,Hybrid,157808,"Azure, TensorFlow, Leadership, Python",,7,47,Startup,,4.84,Yes,1.97,Stable,,,,Medium,
AIJ-100032,Digital Marketer,Energy,Germany,Master,21,0.45,0.21,Hybrid,107132,"Kubernetes, Deep Learning, AWS, Leadership, Excel, Docker",,20,47,Enterprise,,3.28,No,2.41,Stable,,,,Medium,
AIJ-100033,Machine Learning Engineer,Education,Germany,PhD,8,0.22,0.29,Hybrid,170473,"Project Management, Communication, Deep Learning, SQL, Excel",,38,46,Enterprise,,4.94,Yes,2.18,Stable,,,,Low,
AIJ-100034,Software Developer,Transportation,Canada,High School,18,0.09,0.24,No,106581,"Project Management, Python, Cybersecurity, AWS",,20,44,Medium,,4.9,No,4.76,Stable,,,,Low,
AIJ-100035,Software Developer,Finance,Japan,Master,2,0.12,0.7,Yes,44053,"Machine Learning, TensorFlow, AWS",,25,54,Medium,,3.79,Yes,4.1,Stable,,,,Low,
AIJ-100036,Business Analyst,Education,India,High School,5,0.1,0.96,Yes,56013,"Azure, Project Management, PyTorch, Cybersecurity, Docker, AWS",,25,32,Startup,,3.23,No,2.17,Declining,,,,Low,
AIJ-100037,HR Specialist,Education,Australia,High School,17,0.88,0.82,Yes,193855,"Project Management, Azure, Machine Learning, Leadership, Cloud Computing",,-1,59,Medium,,2.21,Yes,4.17,Growing,,,,High,
AIJ-100038,Data Engineer,Transportation,UAE,High School,19,0.68,0.94,Yes,161195,"Azure, Cloud Computing, Kubernetes, Excel, Cybersecurity",,37,40,Enterprise,,2.08,Yes,4.85,Growing,,,,Medium,
AIJ-100039,Machine Learning Engineer,Government,Australia,PhD,2,0.47,0.71,No,102917,"Communication, SQL, Data Visualization",,16,40,Medium,,2.31,Yes,2.32,Growing,,,,Medium,
AIJ-100040,Product Manager,Technology,Singapore,PhD,13,0.28,0.29,Yes,135952,"Project Management, TensorFlow, SQL, Deep Learning, AWS, Data Visualization",,23,41,Enterprise,,3.88,Yes,1.81,Growing,,,,Low,
AIJ-100041,Machine Learning Engineer,Retail,Singapore,High School,17,0.08,0.7,No,92730,"Project Management, Azure, AWS, SQL",,4,56,Startup,,4.84,Yes,2.99,Growing,,,,Low,
AIJ-100042,Software Developer,Energy,Germany,Bachelor,2,0.93,0.39,No,174510,"Docker, Communication, PyTorch, AWS, Deep Learning",,11,59,Enterprise,,4.46,No,3.9,Growing,,,,High,
AIJ-100043,Business Analyst,Education,Japan,PhD,7,0.74,0.5,No,114352,"Cybersecurity, Azure, AWS, Data Visualization, Docker, Communication",,10,53,Medium,,4.74,No,2.54,Growing,,,,High,
AIJ-100044,Blockchain Developer,Healthcare,Singapore,PhD,0,0.92,0.46,Hybrid,56309,"AWS, SQL, Cybersecurity, Communication",,16,57,Enterprise,,2.22,No,2.35,Growing,,,,High,
AIJ-100045,AI Engineer,Government,Canada,Bachelor,20,0.85,0.59,Hybrid,171824,"Machine Learning, Leadership, TensorFlow, Data Visualization, Docker, Excel",,4,53,Startup,,4.94,Yes,2.77,Growing,,,,High,
AIJ-100046,Digital Marketer,Media,Australia,Bachelor,5,0.31,0.5,Yes,68160,"Python, SQL, Leadership, TensorFlow, Kubernetes",,29,57,Medium,,4.05,No,4.65,Declining,,,,Medium,
AIJ-100047,Robotics Engineer,Media,UK,High School,14,0.65,0.91,No,151963,"Azure, Communication, Kubernetes, Cybersecurity",,9,50,Medium,,2.75,No,1.8,Stable,,,,Medium,
AIJ-100048,Prompt Engineer,Retail,USA,High School,19,0.32,0.75,Hybrid,35751,"Cloud Computing, Deep Learning, TensorFlow, Project Management, Data Visualization, Azure",,43,58,Medium,,3.82,No,1.88,Declining,,,,Medium,
AIJ-100049,Cybersecurity Analyst,Retail,Pakistan,PhD,5,0.45,0.66,Yes,64448,"Cybersecurity, Cloud Computing, SQL, Kubernetes, TensorFlow",,40,47,Medium,,3.51,No,4.32,Stable,,,,Medium,
AIJ-100050,Prompt Engineer,Media,Pakistan,High School,25,0.73,0.38,No,207294,"Project Management, Leadership, Cloud Computing, Deep Learning, SQL, Machine Learning",,6,47,Startup,,3.11,No,3.34,Growing,,,,High,
AIJ-100051,Digital Marketer,Healthcare,UAE,Master,20,0.85,0.64,No,189929,"Cloud Computing, Deep Learning, AWS, Python, Project Management",,-2,31,Startup,,4.99,Yes,1.39,Growing,,,,High,
AIJ-100052,DevOps Engineer,Government,UK,PhD,20,0.9,0.75,Yes,171608,"TensorFlow, Azure, Excel, Leadership",,29,43,Medium,,4.07,Yes,2.77,Declining,,,,High,
AIJ-100053,Cybersecurity Analyst,Education,Japan,High School,1,0.3,0.96,No,149201,"Cloud Computing, Excel, Docker, Python, Prompt Engineering",,-2,55,Enterprise,,2.21,Yes,3.35,Declining,,,,Medium,
AIJ-100054,Cloud Architect,Technology,UK,High School,11,0.94,0.63,Yes,75743,"Cybersecurity, Python, Communication, PyTorch, Machine Learning",,10,30,Startup,,2.16,No,3.1,Growing,,,,High,
AIJ-100055,Digital Marketer,Government,USA,Master,14,0.51,0.29,Hybrid,162078,"AWS, Azure, Excel",,-7,45,Medium,,4.06,No,3.85,Stable,,,,Medium,
AIJ-100056,HR Specialist,Media,Pakistan,PhD,19,0.11,0.42,Hybrid,195957,"Machine Learning, Leadership, Cybersecurity",,19,46,Enterprise,,2.3,Yes,4.41,Growing,,,,Low,
AIJ-100057,Cloud Architect,Manufacturing,Australia,Master,21,0.36,0.56,No,139049,"PyTorch, Azure, Deep Learning, Prompt Engineering",,-1,51,Medium,,2.27,Yes,1.37,Declining,,,,Medium,
AIJ-100058,AI Engineer,Retail,Japan,Master,11,0.42,0.89,Yes,140870,"Cybersecurity, SQL, Leadership, AWS, Docker",,22,36,Startup,,3.45,Yes,2.4,Growing,,,,Medium,
AIJ-100059,Teacher,Media,USA,Master,0,0.81,0.97,Yes,192981,"Cloud Computing, Communication, Deep Learning, TensorFlow, Prompt Engineering",,34,54,Medium,,3.05,Yes,4.48,Growing,,,,High,
AIJ-100060,Machine Learning Engineer,Manufacturing,India,Master,24,0.24,0.53,Hybrid,119363,"Machine Learning, Cybersecurity, Python, SQL, Excel, Communication",,-5,58,Startup,,2.47,Yes,3.7,Stable,,,,Low,
AIJ-100061,Cloud Architect,Retail,Japan,PhD,16,0.73,0.29,Hybrid,142699,"PyTorch, AWS, Azure, Prompt Engineering, Cybersecurity, Cloud Computing",,-8,37,Medium,,2.16,Yes,2.21,Declining,,,,High,
AIJ-100062,Software Developer,Energy,Singapore,Bachelor,16,0.06,0.79,Hybrid,76057,"Communication, Project Management, Leadership, SQL",,41,41,Startup,,4.59,Yes,2.74,Stable,,,,Low,
AIJ-100063,Prompt Engineer,Technology,Pakistan,Bachelor,25,0.69,0.53,Hybrid,60192,"Leadership, PyTorch, TensorFlow",,43,52,Medium,,3.31,Yes,1.97,Growing,,,,Medium,
AIJ-100064,Cybersecurity Analyst,Media,Canada,Bachelor,24,0.36,0.46,No,74074,"Docker, Machine Learning, TensorFlow, PyTorch, Cybersecurity, Excel",,36,60,Enterprise,,2.71,Yes,2.02,Declining,,,,Medium,
AIJ-100065,HR Specialist,Government,Pakistan,Master,4,0.73,0.8,No,147677,"Machine Learning, Data Visualization, AWS, Deep Learning",,20,44,Enterprise,,4.39,Yes,2.41,Declining,,,,High,
AIJ-100066,Teacher,Government,Singapore,PhD,14,0.8,0.26,Hybrid,53670,"Azure, Kubernetes, SQL, Python, Data Visualization",,40,53,Startup,,4.73,Yes,2.29,Stable,,,,High,
AIJ-100067,Cybersecurity Analyst,Media,UK,High School,7,0.86,0.47,Hybrid,217253,"SQL, Azure, Cloud Computing, TensorFlow",,18,46,Enterprise,,2.48,No,4.67,Stable,,,,High,
AIJ-100068,Teacher,Finance,Pakistan,High School,18,0.55,0.51,Hybrid,96059,"Leadership, SQL, Kubernetes, Docker, Data Visualization, Azure",,12,39,Enterprise,,3.99,Yes,3.38,Declining,,,,Medium,
AIJ-100069,Product Manager,Healthcare,Australia,Master,0,0.65,0.85,No,209677,"Kubernetes, TensorFlow, Leadership, PyTorch, Machine Learning",,1,60,Startup,,4.84,No,1.77,Declining,,,,Medium,
AIJ-100070,AI Engineer,Manufacturing,Japan,Bachelor,19,0.74,0.86,No,168027,"Machine Learning, Project Management, Cloud Computing, Communication",,0,35,Enterprise,,4.43,Yes,3.88,Declining,,,,High,
AIJ-100071,Digital Marketer,Retail,UAE,Bachelor,11,0.72,0.55,Hybrid,169987,"Excel, Deep Learning, Azure, Project Management, Cybersecurity, TensorFlow",,18,44,Medium,,3.51,No,4.87,Declining,,,,High,
AIJ-100072,Product Manager,Healthcare,India,High School,24,0.38,0.94,Yes,216489,"Communication, SQL, AWS, PyTorch",,18,58,Enterprise,,4.49,Yes,4.79,Declining,,,,Medium,
AIJ-100073,Financial Analyst,Education,USA,Master,3,0.39,0.51,Hybrid,51392,"Excel, Python, PyTorch, Docker, Prompt Engineering, Communication",,11,55,Startup,,2.11,No,3.78,Declining,,,,Medium,
AIJ-100074,Product Manager,Energy,Canada,Master,7,0.8,0.63,No,189614,"Azure, Python, Machine Learning, Docker, Cybersecurity, Cloud Computing",,-7,37,Medium,,4.38,No,1.25,Stable,,,,High,
AIJ-100075,Digital Marketer,Government,Australia,Bachelor,21,0.31,0.2,Hybrid,122488,"Docker, Deep Learning, Cybersecurity",,23,41,Startup,,3.63,Yes,2.56,Stable,,,,Medium,
AIJ-100076,Financial Analyst,Education,Canada,Master,4,0.72,0.48,Yes,47710,"TensorFlow, Excel, Communication",,24,40,Enterprise,,4.49,No,4.92,Stable,,,,High,
AIJ-100077,AI Engineer,Manufacturing,India,PhD,17,0.31,0.23,No,82289,"Cybersecurity, Machine Learning, Azure, Python",,-8,54,Enterprise,,2.86,Yes,4.46,Stable,,,,Medium,
AIJ-100078,Healthcare Analyst,Finance,UAE,PhD,11,0.72,0.91,Hybrid,131356,"Cloud Computing, Excel, PyTorch, Azure, Prompt Engineering",,41,32,Enterprise,,2.24,Yes,3.18,Stable,,,,High,
AIJ-100079,Machine Learning Engineer,Transportation,Pakistan,PhD,1,0.33,0.68,Hybrid,141703,"Machine Learning, Leadership, Project Management",,29,43,Medium,,4.94,Yes,1.3,Growing,,,,Medium,
AIJ-100080,Cybersecurity Analyst,Education,Pakistan,Master,12,0.66,0.55,Hybrid,63090,"Excel, Docker, Data Visualization, Python, Machine Learning, Project Management",,28,34,Enterprise,,4.85,No,2.78,Declining,,,,Medium,
AIJ-100081,Data Scientist,Finance,UAE,PhD,17,0.63,0.4,Yes,59739,"Docker, Excel, TensorFlow, Data Visualization",,39,38,Enterprise,,2.64,No,3.78,Stable,,,,Medium,
AIJ-100082,Healthcare Analyst,Manufacturing,Canada,Master,9,0.21,0.76,Yes,53013,"Cloud Computing, Cybersecurity, Machine Learning, Deep Learning",,35,59,Enterprise,,2.52,No,3.04,Declining,,,,Low,
AIJ-100083,Data Engineer,Finance,Japan,High School,2,0.37,0.65,No,152527,"Cybersecurity, Deep Learning, AWS, Python",,35,53,Medium,,3.23,No,4.29,Declining,,,,Medium,
AIJ-100084,HR Specialist,Finance,UK,PhD,16,0.66,0.47,Yes,174520,"Leadership, Machine Learning, Azure, Deep Learning",,23,34,Medium,,2.49,Yes,2.38,Growing,,,,Medium,
AIJ-100085,Data Engineer,Healthcare,Singapore,Bachelor,18,0.3,0.69,Hybrid,191068,"Machine Learning, Communication, Prompt Engineering, Leadership, Docker",,0,51,Enterprise,,4.71,No,4.37,Growing,,,,Medium,
AIJ-100086,Business Analyst,Government,Australia,High School,15,0.9,0.81,Hybrid,99377,"Python, Machine Learning, SQL",,8,50,Medium,,2.73,No,2.19,Declining,,,,High,
AIJ-100087,Software Developer,Manufacturing,Pakistan,Master,12,0.49,0.36,Yes,189032,"Data Visualization, Azure, PyTorch",,22,47,Startup,,2.73,Yes,2.07,Declining,,,,Medium,
AIJ-100088,Healthcare Analyst,Government,Pakistan,Bachelor,24,0.83,0.53,Yes,71864,"Cloud Computing, SQL, Project Management, Prompt Engineering",,22,44,Medium,,3.49,Yes,4.78,Growing,,,,High,
AIJ-100089,IoT Specialist,Retail,Singapore,High School,3,0.5,0.9,No,201510,"Deep Learning, Prompt Engineering, Excel, Python, Azure, Cybersecurity",,6,53,Medium,,3.1,No,1.2,Growing,,,,Medium,
AIJ-100090,Teacher,Government,Canada,Bachelor,3,0.5,0.8,No,103327,"Excel, Project Management, Machine Learning, Prompt Engineering",,40,40,Enterprise,,4.26,Yes,3.41,Stable,,,,Medium,
AIJ-100091,Blockchain Developer,Finance,Japan,Bachelor,10,0.69,0.84,Hybrid,166139,"SQL, Kubernetes, Cybersecurity",,0,42,Enterprise,,4.53,No,3.03,Growing,,,,Medium,
AIJ-100092,Data Scientist,Government,UAE,Master,20,0.15,0.53,Hybrid,110655,"Project Management, AWS, Python, Data Visualization, Azure, Leadership",,4,53,Startup,,3.44,No,1.59,Growing,,,,Low,
AIJ-100093,Business Analyst,Energy,Singapore,PhD,23,0.45,0.53,Hybrid,138255,"SQL, Cloud Computing, Prompt Engineering, Python",,35,34,Enterprise,,3.68,No,3.1,Stable,,,,Medium,
AIJ-100094,UX Designer,Government,UAE,Bachelor,7,0.74,0.77,No,198639,"Azure, Leadership, Excel, Docker",,9,37,Medium,,4.11,No,2.27,Stable,,,,High,
AIJ-100095,Robotics Engineer,Technology,India,High School,11,0.79,0.95,No,68397,"Project Management, Cloud Computing, TensorFlow, Azure, Prompt Engineering",,6,53,Medium,,2.61,No,4.73,Growing,,,,High,
AIJ-100096,Digital Marketer,Technology,Canada,PhD,10,0.65,0.62,Hybrid,197233,"Cybersecurity, Cloud Computing, Deep Learning, Docker, Python",,-4,51,Startup,,4.89,Yes,2.63,Stable,,,,Medium,
AIJ-100097,Digital Marketer,Media,USA,Bachelor,13,0.87,0.27,Yes,180505,"Prompt Engineering, Project Management, Leadership, Cybersecurity, AWS, Python",,43,42,Medium,,4.81,No,4.51,Declining,,,,High,
AIJ-100098,Product Manager,Transportation,India,Bachelor,25,0.54,0.59,Yes,65179,"Cloud Computing, Leadership, Project Management, Deep Learning, Docker",,0,53,Medium,,2.77,Yes,1.06,Stable,,,,Medium,
AIJ-100099,Cloud Architect,Finance,UK,PhD,10,0.51,0.27,Yes,205441,"Prompt Engineering, Data Visualization, TensorFlow, PyTorch, Kubernetes",,6,42,Startup,,4.26,No,2.21,Growing,,,,Medium,
AIJ-100100,Machine Learning Engineer,Energy,Singapore,Master,22,0.11,0.29,Yes,110427,"Communication, Excel, Deep Learning",,8,41,Enterprise,,2.66,Yes,2.91,Stable,,,,Low,
AIJ-100101,Product Manager,Transportation,Singapore,Master,2,0.66,0.67,Hybrid,51461,"PyTorch, AWS, Prompt Engineering, TensorFlow, Cloud Computing",,-7,56,Enterprise,,2.61,Yes,1.66,Growing,,,,Medium,
AIJ-100102,DevOps Engineer,Transportation,Japan,High School,17,0.78,0.56,No,164544,"Cloud Computing, Prompt Engineering, AWS, SQL, Communication, Deep Learning",,41,39,Enterprise,,3.19,Yes,3.98,Growing,,,,High,
AIJ-100103,Cybersecurity Analyst,Transportation,USA,Master,13,0.68,0.63,Yes,45795,"SQL, PyTorch, Excel",,39,50,Enterprise,,4.89,No,4.97,Stable,,,,Medium,
AIJ-100104,Machine Learning Engineer,Media,Australia,Bachelor,23,0.17,0.88,Yes,61098,"TensorFlow, Kubernetes, Machine Learning, Leadership, Azure, Communication",,38,30,Medium,,4.02,No,3.13,Declining,,,,Low,
AIJ-100105,AI Engineer,Energy,Japan,High School,7,0.22,0.89,Yes,59581,"Azure, Excel, Cybersecurity, AWS",,-4,49,Startup,,3.79,Yes,1.98,Declining,,,,Low,
AIJ-100106,Digital Marketer,Government,Pakistan,Master,7,0.1,0.6,No,105828,"Azure, Deep Learning, Prompt Engineering, TensorFlow, PyTorch, Kubernetes",,32,46,Startup,,2.9,Yes,3.23,Growing,,,,Low,
AIJ-100107,Healthcare Analyst,Energy,Australia,Bachelor,9,0.9,0.73,No,167484,"PyTorch, AWS, SQL, Data Visualization",,38,47,Medium,,4.55,No,4.43,Declining,,,,High,
AIJ-100108,Cybersecurity Analyst,Transportation,Pakistan,High School,17,0.4,0.4,Hybrid,116576,"SQL, PyTorch, Docker, Communication, Azure, Machine Learning",,-7,38,Medium,,3.81,Yes,4.49,Declining,,,,Medium,
AIJ-100109,Cloud Architect,Transportation,Germany,Bachelor,12,0.91,0.21,Yes,79813,"AWS, Prompt Engineering, Leadership, Cybersecurity",,10,54,Medium,,3.4,No,2.23,Stable,,,,High,
AIJ-100110,AI Engineer,Government,Germany,Bachelor,0,0.87,0.49,No,138509,"Azure, Cloud Computing, AWS, TensorFlow, PyTorch, Data Visualization",,27,48,Enterprise,,2.89,Yes,2.32,Stable,,,,High,
AIJ-100111,IoT Specialist,Transportation,UK,Master,5,0.79,0.96,Yes,198216,"AWS, Leadership, Communication, TensorFlow",,24,45,Startup,,4.97,Yes,3.1,Declining,,,,High,
AIJ-100112,Software Developer,Technology,Germany,PhD,11,0.81,0.38,Yes,215380,"Python, PyTorch, Cybersecurity",,30,51,Enterprise,,3.98,Yes,1.03,Growing,,,,High,
AIJ-100113,Machine Learning Engineer,Healthcare,Canada,Bachelor,7,0.5,0.75,Yes,142872,"Python, Kubernetes, Communication, AWS, Cybersecurity, Docker",,23,38,Medium,,4.38,Yes,2.49,Stable,,,,Medium,
AIJ-100114,Cybersecurity Analyst,Energy,Australia,PhD,17,0.64,0.88,No,38305,"Deep Learning, Kubernetes, Project Management, Leadership, PyTorch, SQL",,30,30,Enterprise,,2.25,No,3.58,Stable,,,,Medium,
AIJ-100115,IoT Specialist,Retail,USA,High School,21,0.24,0.89,No,178579,"Docker, SQL, Deep Learning",,26,51,Startup,,4.79,No,1.06,Declining,,,,Low,
AIJ-100116,Data Engineer,Manufacturing,Australia,Bachelor,25,0.56,0.65,Hybrid,132015,"TensorFlow, Machine Learning, Project Management, Docker",,-5,46,Enterprise,,2.16,No,1.93,Declining,,,,Medium,
AIJ-100117,Financial Analyst,Media,Australia,PhD,5,0.76,0.56,Hybrid,89805,"TensorFlow, Leadership, Python, Docker, Cybersecurity",,32,42,Startup,,2.89,Yes,3.85,Declining,,,,High,
AIJ-100118,Robotics Engineer,Transportation,Pakistan,Master,3,0.34,0.28,Yes,31361,"Cybersecurity, TensorFlow, Kubernetes, Excel, Prompt Engineering",,1,43,Medium,,3.66,No,1.41,Declining,,,,Medium,
AIJ-100119,Data Engineer,Education,Japan,Bachelor,21,0.06,0.53,No,52203,"Kubernetes, Machine Learning, Leadership, PyTorch, Prompt Engineering",,-2,38,Medium,,3.48,Yes,1.67,Stable,,,,Low,
AIJ-100120,Business Analyst,Transportation,Canada,Bachelor,9,0.7,0.59,Yes,191656,"Project Management, AWS, Machine Learning, Data Visualization, Cybersecurity, Cloud Computing",,11,56,Enterprise,,4.41,No,2.76,Stable,,,,High,
AIJ-100121,Robotics Engineer,Transportation,Japan,Bachelor,10,0.33,0.96,No,113660,"Project Management, Leadership, Prompt Engineering, Deep Learning",,42,55,Medium,,2.34,Yes,3.37,Growing,,,,Medium,
AIJ-100122,Cybersecurity Analyst,Energy,UAE,Bachelor,20,0.24,0.83,No,211622,"Kubernetes, Python, Azure, Excel",,6,51,Startup,,3.27,No,1.3,Growing,,,,Low,
AIJ-100123,Teacher,Healthcare,Canada,Bachelor,21,0.92,0.75,Hybrid,170746,"TensorFlow, Docker, PyTorch, Communication, Python, Kubernetes",,0,50,Enterprise,,3.69,No,4.87,Stable,,,,High,
AIJ-100124,HR Specialist,Education,UAE,Master,12,0.72,0.64,No,210267,"Cloud Computing, Python, Kubernetes, Cybersecurity, AWS, Communication",,27,52,Enterprise,,3.03,Yes,2.93,Stable,,,,High,
AIJ-100125,Financial Analyst,Transportation,Canada,PhD,23,0.46,0.36,Hybrid,156596,"Machine Learning, Cloud Computing, Cybersecurity, Data Visualization, AWS, Azure",,10,32,Medium,,4.43,Yes,1.09,Stable,,,,Medium,
AIJ-100126,Blockchain Developer,Education,Australia,Bachelor,5,0.55,0.46,Hybrid,141770,"Data Visualization, Deep Learning, Kubernetes",,17,42,Startup,,3.84,Yes,2.8,Stable,,,,Medium,
AIJ-100127,Data Engineer,Finance,Pakistan,Master,6,0.78,0.25,No,56673,"Python, Prompt Engineering, Docker, Cybersecurity, TensorFlow, Excel",,6,51,Medium,,4.9,No,3.39,Growing,,,,High,
